"constructorStandingsId","raceId","constructorId","points","position","positionText","wins","X"
25993,905,206,2,9,"9",0,NA
25994,905,208,8,7,"7",0,NA
25995,905,207,0,11,"11",0,NA
25996,905,9,99,2,"2",0,NA
25997,906,131,258,1,"1",6,NA
25998,906,1,66,5,"5",0,NA
25999,906,6,87,3,"3",0,NA
26000,906,3,58,6,"6",0,NA
26001,906,10,77,4,"4",0,NA
26002,906,5,12,7,"7",0,NA
26003,906,15,0,10,"10",0,NA
26004,906,206,2,9,"9",0,NA
26005,906,208,8,8,"8",0,NA
26006,906,207,0,11,"11",0,NA
26007,906,9,139,2,"2",1,NA
26008,907,131,301,1,"1",7,NA
26009,907,1,72,6,"6",0,NA
26010,907,6,98,3,"3",0,NA
26011,907,3,85,5,"5",0,NA
26012,907,10,87,4,"4",0,NA
26013,907,5,12,7,"7",0,NA
26014,907,15,0,10,"10",0,NA
26015,907,206,2,9,"9",0,NA
26016,907,208,8,8,"8",0,NA
26017,907,207,0,11,"11",0,NA
26018,907,9,143,2,"2",1,NA
26019,908,131,326,1,"1",8,NA
26020,908,1,90,6,"6",0,NA
26021,908,6,106,3,"3",0,NA
26022,908,3,103,4,"4",0,NA
26023,908,10,91,5,"5",0,NA
26024,908,5,15,7,"7",0,NA
26025,908,15,0,10,"10",0,NA
26026,908,206,2,9,"9",0,NA
26027,908,208,8,8,"8",0,NA
26028,908,207,0,11,"11",0,NA
26029,908,9,168,2,"2",1,NA
26030,909,131,366,1,"1",9,NA
26031,909,1,96,6,"6",0,NA
26032,909,6,116,4,"4",0,NA
26033,909,3,121,3,"3",0,NA
26034,909,10,98,5,"5",0,NA
26035,909,5,15,7,"7",0,NA
26036,909,15,0,10,"10",0,NA
26037,909,206,2,9,"9",0,NA
26038,909,208,8,8,"8",0,NA
26039,909,207,0,11,"11",0,NA
26040,909,9,188,2,"2",1,NA
26041,910,131,393,1,"1",9,NA
26042,910,1,97,6,"6",0,NA
26043,910,6,142,3,"3",0,NA
26044,910,3,135,4,"4",0,NA
26045,910,10,98,5,"5",0,NA
26046,910,5,17,7,"7",0,NA
26047,910,15,0,10,"10",0,NA
26048,910,206,2,9,"9",0,NA
26049,910,208,8,8,"8",0,NA
26050,910,207,0,11,"11",0,NA
26051,910,9,219,2,"2",2,NA
26052,911,131,411,1,"1",9,NA
26053,911,1,105,5,"5",0,NA
26054,911,6,160,3,"3",0,NA
26055,911,3,150,4,"4",0,NA
26056,911,10,103,6,"6",0,NA
26057,911,5,19,7,"7",0,NA
26058,911,15,0,10,"10",0,NA
26059,911,206,2,9,"9",0,NA
26060,911,208,8,8,"8",0,NA
26061,911,207,0,11,"11",0,NA
26062,911,9,254,2,"2",3,NA
26063,912,131,454,1,"1",10,NA
26064,912,1,110,5,"5",0,NA
26065,912,6,162,4,"4",0,NA
26066,912,3,177,3,"3",0,NA
26067,912,10,109,6,"6",0,NA
26068,912,5,19,7,"7",0,NA
26069,912,15,0,10,"10",0,NA
26070,912,206,2,9,"9",0,NA
26071,912,208,8,8,"8",0,NA
26072,912,207,0,11,"11",0,NA
26073,912,9,272,2,"2",3,NA
26074,913,131,479,1,"1",11,NA
26075,913,1,111,6,"6",0,NA
26076,913,6,178,4,"4",0,NA
26077,913,3,187,3,"3",0,NA
26078,913,10,117,5,"5",0,NA
26079,913,5,27,7,"7",0,NA
26080,913,15,0,10,"10",0,NA
26081,913,206,2,9,"9",0,NA
26082,913,208,8,8,"8",0,NA
26083,913,207,0,11,"11",0,NA
26084,913,9,305,2,"2",3,NA
26085,914,131,522,1,"1",12,NA
26086,914,1,121,6,"6",0,NA
26087,914,6,178,4,"4",0,NA
26088,914,3,201,3,"3",0,NA
26089,914,10,122,5,"5",0,NA
26090,914,5,29,7,"7",0,NA
26091,914,15,0,10,"10",0,NA
26092,914,206,2,9,"9",0,NA
26093,914,208,8,8,"8",0,NA
26094,914,207,0,11,"11",0,NA
26095,914,9,332,2,"2",3,NA
26096,915,131,565,1,"1",13,NA
26097,915,1,143,5,"5",0,NA
26098,915,6,188,4,"4",0,NA
26099,915,3,216,3,"3",0,NA
26100,915,10,123,6,"6",0,NA
26101,915,5,29,7,"7",0,NA
26102,915,15,0,10,"10",0,NA
26103,915,206,2,9,"9",0,NA
26104,915,208,8,8,"8",0,NA
26105,915,207,0,11,"11",0,NA
26106,915,9,342,2,"2",3,NA
26107,916,131,608,1,"1",14,NA
26108,916,1,147,5,"5",0,NA
26109,916,6,196,4,"4",0,NA
26110,916,3,238,3,"3",0,NA
26111,916,10,123,6,"6",0,NA
26112,916,5,30,7,"7",0,NA
26113,916,15,0,10,"10",0,NA
26114,916,206,2,9,"9",0,NA
26115,916,208,10,8,"8",0,NA
26116,916,207,0,11,"11",0,NA
26117,916,9,363,2,"2",3,NA
26118,917,131,651,1,"1",15,NA
26119,917,1,161,5,"5",0,NA
26120,917,6,210,4,"4",0,NA
26121,917,3,254,3,"3",0,NA
26122,917,10,127,6,"6",0,NA
26123,917,5,30,7,"7",0,NA
26124,917,15,0,10,"10",0,NA
26125,917,206,2,9,"9",0,NA
26126,917,208,10,8,"8",0,NA
26127,917,207,0,11,"11",0,NA
26128,917,9,373,2,"2",3,NA
26129,918,131,701,1,"1",16,NA
26130,918,1,181,5,"5",0,NA
26131,918,6,216,4,"4",0,NA
26132,918,3,320,3,"3",0,NA
26133,918,10,155,6,"6",0,NA
26134,918,5,30,7,"7",0,NA
26135,918,15,0,10,"10",0,NA
26136,918,206,2,9,"9",0,NA
26137,918,208,10,8,"8",0,NA
26138,918,207,0,11,"11",0,NA
26139,918,9,405,2,"2",3,NA
26733,969,6,37,1,"1",1,NA
26140,926,131,43,1,"1",1,NA
26141,926,6,15,2,"2",0,NA
26142,926,3,12,4,"4",0,NA
26143,926,15,14,3,"3",0,NA
26144,926,9,8,5,"5",0,NA
26145,926,10,7,6,"6",0,NA
26146,926,5,2,7,"7",0,NA
26147,926,1,0,8,"8",0,NA
26148,926,208,0,9,"9",0,NA
26149,927,131,76,1,"1",1,NA
26150,927,6,52,2,"2",1,NA
26151,927,3,30,3,"3",0,NA
26152,927,15,14,4,"4",0,NA
26153,927,9,11,6,"6",0,NA
26154,927,10,7,7,"7",0,NA
26155,927,5,12,5,"5",0,NA
26156,927,1,0,9,"9",0,NA
26157,927,208,0,8,"8",0,NA
26158,927,209,0,10,"10",0,NA
26159,928,131,119,1,"1",2,NA
26160,928,6,79,2,"2",1,NA
26161,928,3,48,3,"3",0,NA
26162,928,15,19,4,"4",0,NA
26163,928,9,13,5,"5",0,NA
26164,928,10,7,7,"7",0,NA
26165,928,5,12,6,"6",0,NA
26166,928,1,0,9,"9",0,NA
26167,928,208,6,8,"8",0,NA
26168,928,209,0,10,"10",0,NA
26169,929,131,159,1,"1",3,NA
26170,929,6,107,2,"2",1,NA
26171,929,3,61,3,"3",0,NA
26172,929,15,19,5,"5",0,NA
26173,929,9,23,4,"4",0,NA
26174,929,10,11,8,"8",0,NA
26175,929,5,12,7,"7",0,NA
26176,929,1,0,9,"9",0,NA
26177,929,208,12,6,"6",0,NA
26178,929,209,0,10,"10",0,NA
26179,930,131,202,1,"1",4,NA
26180,930,6,132,2,"2",1,NA
26181,930,3,81,3,"3",0,NA
26182,930,15,19,5,"5",0,NA
26183,930,9,30,4,"4",0,NA
26184,930,10,11,8,"8",0,NA
26185,930,5,14,7,"7",0,NA
26186,930,1,0,9,"9",0,NA
26187,930,208,16,6,"6",0,NA
26188,930,209,0,10,"10",0,NA
26189,931,131,242,1,"1",5,NA
26190,931,6,158,2,"2",1,NA
26191,931,3,81,3,"3",0,NA
26192,931,15,21,5,"5",0,NA
26193,931,9,52,4,"4",0,NA
26194,931,10,17,6,"6",0,NA
26195,931,5,15,8,"8",0,NA
26196,931,1,4,9,"9",0,NA
26197,931,208,16,7,"7",0,NA
26198,931,209,0,10,"10",0,NA
26199,932,131,285,1,"1",6,NA
26200,932,6,180,2,"2",1,NA
26201,932,3,104,3,"3",0,NA
26202,932,15,21,6,"6",0,NA
26203,932,9,54,4,"4",0,NA
26204,932,10,21,7,"7",0,NA
26205,932,5,15,8,"8",0,NA
26206,932,1,4,9,"9",0,NA
26207,932,208,23,5,"5",0,NA
26208,932,209,0,10,"10",0,NA
26209,933,131,328,1,"1",7,NA
26210,933,6,192,2,"2",1,NA
26211,933,3,129,3,"3",0,NA
26212,933,15,21,7,"7",0,NA
26213,933,9,55,4,"4",0,NA
26214,933,10,31,5,"5",0,NA
26215,933,5,19,8,"8",0,NA
26216,933,1,4,9,"9",0,NA
26217,933,208,29,6,"6",0,NA
26218,933,209,0,10,"10",0,NA
26219,934,131,371,1,"1",8,NA
26220,934,6,211,2,"2",1,NA
26221,934,3,151,3,"3",0,NA
26222,934,15,21,7,"7",0,NA
26223,934,9,63,4,"4",0,NA
26224,934,10,39,5,"5",0,NA
26225,934,5,19,8,"8",0,NA
26226,934,1,5,9,"9",0,NA
26227,934,208,29,6,"6",0,NA
26228,934,209,0,10,"10",0,NA
26229,936,131,383,1,"1",8,NA
26230,936,6,236,2,"2",2,NA
26231,936,3,151,3,"3",0,NA
26232,936,15,22,8,"8",0,NA
26233,936,9,96,4,"4",0,NA
26234,936,10,39,5,"5",0,NA
26235,936,5,31,7,"7",0,NA
26236,936,1,17,9,"9",0,NA
26237,936,208,35,6,"6",0,NA
26238,936,209,0,10,"10",0,NA
26260,938,131,451,1,"1",10,NA
26259,937,209,0,10,"10",0,NA
26257,937,1,17,9,"9",0,NA
26256,937,5,35,7,"7",0,NA
26253,937,15,23,8,"8",0,NA
26258,937,208,50,5,"5",0,NA
26252,937,3,161,3,"3",0,NA
26255,937,10,49,6,"6",0,NA
26254,937,9,108,4,"4",0,NA
26251,937,6,242,2,"2",2,NA
26250,937,131,426,1,"1",9,NA
26261,938,6,270,2,"2",2,NA
26262,938,3,188,3,"3",0,NA
26263,938,15,25,8,"8",0,NA
26264,938,9,113,4,"4",0,NA
26265,938,10,63,5,"5",0,NA
26266,938,5,35,7,"7",0,NA
26267,938,1,17,9,"9",0,NA
26268,938,208,50,6,"6",0,NA
26269,938,209,0,10,"10",0,NA
26270,939,131,463,1,"1",10,NA
26271,939,6,310,2,"2",3,NA
26272,939,3,198,3,"3",0,NA
26273,939,15,26,8,"8",0,NA
26274,939,9,139,4,"4",0,NA
26275,939,10,69,5,"5",0,NA
26276,939,5,41,7,"7",0,NA
26277,939,1,17,9,"9",0,NA
26278,939,208,50,6,"6",0,NA
26279,939,209,0,10,"10",0,NA
26297,940,1,17,9,"9",0,NA
26294,940,9,139,4,"4",0,NA
26292,940,3,208,3,"3",0,NA
26299,940,209,0,10,"10",0,NA
26298,940,208,60,6,"6",0,NA
26296,940,5,44,7,"7",0,NA
26295,940,10,77,5,"5",0,NA
26291,940,6,337,2,"2",3,NA
26293,940,15,26,8,"8",0,NA
26290,940,131,506,1,"1",11,NA
26384,941,209,0,10,"10",0,NA
26383,941,208,66,6,"6",0,NA
26382,941,1,19,9,"9",0,NA
26381,941,5,45,7,"7",0,NA
26380,941,10,92,5,"5",0,NA
26379,941,9,149,4,"4",0,NA
26378,941,15,34,8,"8",0,NA
26377,941,3,220,3,"3",0,NA
26376,941,6,359,2,"2",3,NA
26394,942,209,0,10,"10",0,NA
26375,941,131,531,1,"1",12,NA
26393,942,208,70,6,"6",0,NA
26390,942,10,102,5,"5",0,NA
26388,942,15,36,8,"8",0,NA
26392,942,1,27,9,"9",0,NA
26391,942,5,63,7,"7",0,NA
26387,942,3,220,3,"3",0,NA
26389,942,9,150,4,"4",0,NA
26386,942,6,374,2,"2",3,NA
26385,942,131,574,1,"1",13,NA
26403,943,208,71,6,"6",0,NA
26400,943,10,112,5,"5",0,NA
26398,943,15,36,8,"8",0,NA
26404,943,209,0,10,"10",0,NA
26402,943,1,27,9,"9",0,NA
26401,943,5,65,7,"7",0,NA
26397,943,3,243,3,"3",0,NA
26399,943,9,172,4,"4",0,NA
26396,943,6,374,2,"2",3,NA
26395,943,131,617,1,"1",14,NA
26413,944,208,76,6,"6",0,NA
26410,944,10,120,5,"5",0,NA
26408,944,15,36,8,"8",0,NA
26414,944,209,0,10,"10",0,NA
26412,944,1,27,9,"9",0,NA
26411,944,5,67,7,"7",0,NA
26407,944,3,253,3,"3",0,NA
26409,944,9,178,4,"4",0,NA
26406,944,6,401,2,"2",3,NA
26405,944,131,660,1,"1",15,NA
26434,945,208,78,6,"6",0,NA
26431,945,10,136,5,"5",0,NA
26429,945,15,36,8,"8",0,NA
26435,945,209,0,10,"10",0,NA
26433,945,1,27,9,"9",0,NA
26432,945,5,67,7,"7",0,NA
26428,945,3,257,3,"3",0,NA
26430,945,9,187,4,"4",0,NA
26427,945,6,428,2,"2",3,NA
26426,945,131,703,1,"1",16,NA
26524,955,131,258,1,"1",7,NA
26566,948,15,0,10,"10",0,NA
26567,948,209,0,11,"11",0,NA
26557,948,131,43,1,"1",1,NA
26565,948,1,0,9,"9",0,NA
26564,948,4,0,8,"8",0,NA
26563,948,5,3,7,"7",0,NA
26562,948,10,6,6,"6",0,NA
26561,948,210,8,5,"5",0,NA
26560,948,3,14,3,"3",0,NA
26559,948,9,12,4,"4",0,NA
26558,948,6,15,2,"2",0,NA
26447,949,131,83,1,"1",2,NA
26448,949,6,33,2,"2",0,NA
26449,949,9,30,3,"3",0,NA
26450,949,3,20,4,"4",0,NA
26451,949,210,18,5,"5",0,NA
26452,949,10,6,7,"7",0,NA
26453,949,5,11,6,"6",0,NA
26454,949,4,0,9,"9",0,NA
26455,949,1,1,8,"8",0,NA
26456,949,15,0,10,"10",0,NA
26457,949,209,0,11,"11",0,NA
26458,950,131,114,1,"1",3,NA
26459,950,6,61,2,"2",0,NA
26460,950,9,57,3,"3",0,NA
26461,950,3,29,4,"4",0,NA
26462,950,210,18,5,"5",0,NA
26463,950,10,6,7,"7",0,NA
26464,950,5,17,6,"6",0,NA
26465,950,4,0,9,"9",0,NA
26466,950,1,1,8,"8",0,NA
26467,950,15,0,10,"10",0,NA
26468,950,209,0,11,"11",0,NA
26469,951,131,157,1,"1",4,NA
26470,951,6,76,2,"2",0,NA
26471,951,9,57,3,"3",0,NA
26472,951,3,51,4,"4",0,NA
26473,951,210,22,5,"5",0,NA
26474,951,10,8,8,"8",0,NA
26475,951,5,17,6,"6",0,NA
26476,951,4,6,9,"9",0,NA
26477,951,1,10,7,"7",0,NA
26478,951,15,0,10,"10",0,NA
26479,951,209,0,11,"11",0,NA
26480,952,131,157,1,"1",4,NA
26481,952,6,109,2,"2",0,NA
26482,952,9,94,3,"3",1,NA
26483,952,3,65,4,"4",0,NA
26484,952,210,22,6,"6",0,NA
26485,952,10,14,7,"7",0,NA
26486,952,5,26,5,"5",0,NA
26487,952,4,6,9,"9",0,NA
26488,952,1,12,8,"8",0,NA
26489,952,15,0,10,"10",0,NA
26490,952,209,0,11,"11",0,NA
26491,953,131,188,1,"1",5,NA
26492,953,6,121,2,"2",0,NA
26493,953,9,112,3,"3",1,NA
26494,953,3,66,4,"4",0,NA
26495,953,210,22,8,"8",0,NA
26496,953,10,37,5,"5",0,NA
26497,953,5,30,6,"6",0,NA
26498,953,4,6,9,"9",0,NA
26499,953,1,24,7,"7",0,NA
26500,953,15,0,10,"10",0,NA
26501,953,209,0,11,"11",0,NA
26502,954,131,223,1,"1",6,NA
26503,954,6,147,2,"2",0,NA
26504,954,9,130,3,"3",1,NA
26505,954,3,81,4,"4",0,NA
26506,954,210,22,8,"8",0,NA
26507,954,10,42,5,"5",0,NA
26508,954,5,32,6,"6",0,NA
26509,954,4,6,9,"9",0,NA
26510,954,1,24,7,"7",0,NA
26511,954,15,0,10,"10",0,NA
26512,954,209,0,11,"11",0,NA
26525,955,6,177,2,"2",0,NA
26526,955,9,140,3,"3",1,NA
26527,955,3,90,4,"4",0,NA
26528,955,210,22,8,"8",0,NA
26529,955,10,59,5,"5",0,NA
26530,955,5,32,6,"6",0,NA
26531,955,4,6,9,"9",0,NA
26532,955,1,24,7,"7",0,NA
26533,955,15,0,10,"10",0,NA
26534,955,209,0,11,"11",0,NA
26535,956,131,295,1,"1",8,NA
26536,956,6,192,2,"2",0,NA
26537,956,9,168,3,"3",1,NA
26538,956,3,92,4,"4",0,NA
26539,956,210,28,8,"8",0,NA
26540,956,10,59,5,"5",0,NA
26541,956,5,36,6,"6",0,NA
26542,956,4,6,9,"9",0,NA
26543,956,1,32,7,"7",0,NA
26544,956,15,0,11,"11",0,NA
26545,956,209,1,10,"10",0,NA
26546,957,131,335,1,"1",9,NA
26547,957,6,204,2,"2",0,NA
26548,957,9,198,3,"3",1,NA
26549,957,3,92,4,"4",0,NA
26550,957,210,28,8,"8",0,NA
26551,957,10,73,5,"5",0,NA
26552,957,5,41,6,"6",0,NA
26553,957,4,6,9,"9",0,NA
26554,957,1,32,7,"7",0,NA
26555,957,15,0,11,"11",0,NA
26556,957,209,1,10,"10",0,NA
26568,958,131,378,1,"1",10,NA
26569,958,6,224,2,"2",0,NA
26570,958,9,223,3,"3",1,NA
26571,958,3,94,4,"4",0,NA
26572,958,210,28,8,"8",0,NA
26573,958,10,74,5,"5",0,NA
26574,958,5,45,6,"6",0,NA
26575,958,4,6,9,"9",0,NA
26576,958,1,38,7,"7",0,NA
26577,958,15,0,11,"11",0,NA
26578,958,209,1,10,"10",0,NA
26579,959,131,415,1,"1",11,NA
26580,959,6,242,3,"3",0,NA
26581,959,9,256,2,"2",1,NA
26582,959,3,96,4,"4",0,NA
26583,959,210,28,8,"8",0,NA
26584,959,10,81,5,"5",0,NA
26585,959,5,45,6,"6",0,NA
26586,959,4,6,9,"9",0,NA
26587,959,1,42,7,"7",0,NA
26588,959,15,0,11,"11",0,NA
26589,959,209,1,10,"10",0,NA
26590,960,131,455,1,"1",12,NA
26591,960,6,252,3,"3",0,NA
26592,960,9,274,2,"2",1,NA
26593,960,3,101,5,"5",0,NA
26594,960,210,28,8,"8",0,NA
26595,960,10,103,4,"4",0,NA
26596,960,5,45,7,"7",0,NA
26597,960,4,6,9,"9",0,NA
26598,960,1,48,6,"6",0,NA
26599,960,15,0,11,"11",0,NA
26600,960,209,1,10,"10",0,NA
26601,961,131,498,1,"1",13,NA
26602,961,6,279,3,"3",0,NA
26603,961,9,290,2,"2",1,NA
26604,961,3,111,4,"4",0,NA
26605,961,210,28,8,"8",0,NA
26606,961,10,108,5,"5",0,NA
26607,961,5,45,7,"7",0,NA
26608,961,4,6,9,"9",0,NA
26609,961,1,48,6,"6",0,NA
26610,961,15,0,11,"11",0,NA
26611,961,209,1,10,"10",0,NA
26612,962,131,538,1,"1",14,NA
26613,962,6,301,3,"3",0,NA
26614,962,9,316,2,"2",1,NA
26615,962,3,111,5,"5",0,NA
26616,962,210,28,8,"8",0,NA
26617,962,10,112,4,"4",0,NA
26618,962,5,47,7,"7",0,NA
26619,962,4,7,9,"9",0,NA
26620,962,1,54,6,"6",0,NA
26621,962,15,0,11,"11",0,NA
26622,962,209,1,10,"10",0,NA
26623,963,131,553,1,"1",14,NA
26624,963,6,313,3,"3",0,NA
26625,963,9,359,2,"2",2,NA
26626,963,3,121,5,"5",0,NA
26627,963,210,28,8,"8",0,NA
26628,963,10,124,4,"4",0,NA
26629,963,5,47,7,"7",0,NA
26630,963,4,8,9,"9",0,NA
26631,963,1,62,6,"6",0,NA
26632,963,15,0,11,"11",0,NA
26633,963,209,1,10,"10",0,NA
26634,964,131,593,1,"1",15,NA
26635,964,6,335,3,"3",0,NA
26636,964,9,385,2,"2",2,NA
26637,964,3,124,5,"5",0,NA
26638,964,210,28,8,"8",0,NA
26639,964,10,134,4,"4",0,NA
26640,964,5,47,7,"7",0,NA
26641,964,4,8,9,"9",0,NA
26642,964,1,62,6,"6",0,NA
26643,964,15,0,11,"11",0,NA
26644,964,209,1,10,"10",0,NA
26712,967,6,375,3,"3",0,NA
26697,965,1,74,6,"6",0,NA
26711,967,131,722,1,"1",18,NA
26698,965,15,0,11,"11",0,NA
26690,965,6,347,3,"3",0,NA
26696,965,4,8,9,"9",0,NA
26695,965,5,55,7,"7",0,NA
26694,965,10,138,4,"4",0,NA
26692,965,3,130,5,"5",0,NA
26693,965,210,29,8,"8",0,NA
26691,965,9,400,2,"2",2,NA
26689,965,131,636,1,"1",16,NA
26708,966,1,74,6,"6",0,NA
26710,966,209,1,10,"10",0,NA
26709,966,15,0,11,"11",0,NA
26701,966,6,365,3,"3",0,NA
26707,966,4,8,9,"9",0,NA
26706,966,5,55,7,"7",0,NA
26705,966,10,145,4,"4",0,NA
26703,966,3,136,5,"5",0,NA
26704,966,210,29,8,"8",0,NA
26702,966,9,427,2,"2",2,NA
26700,966,131,679,1,"1",17,NA
26699,965,209,1,10,"10",0,NA
26713,967,9,446,2,"2",2,NA
26714,967,3,136,5,"5",0,NA
26715,967,210,29,8,"8",0,NA
26716,967,10,163,4,"4",0,NA
26717,967,5,63,7,"7",0,NA
26718,967,4,8,9,"9",0,NA
26719,967,1,75,6,"6",0,NA
26720,967,15,2,10,"10",0,NA
26721,967,209,1,11,"11",0,NA
26722,968,131,765,1,"1",19,NA
26723,968,6,398,3,"3",0,NA
26724,968,9,468,2,"2",2,NA
26725,968,3,138,5,"5",0,NA
26726,968,210,29,8,"8",0,NA
26727,968,10,173,4,"4",0,NA
26728,968,5,63,7,"7",0,NA
26729,968,4,8,9,"9",0,NA
26730,968,1,76,6,"6",0,NA
26731,968,15,2,10,"10",0,NA
26732,968,209,1,11,"11",0,NA
26734,969,131,33,2,"2",0,NA
26735,969,9,10,3,"3",0,NA
26736,969,3,8,4,"4",0,NA
26737,969,10,7,5,"5",0,NA
26738,969,5,6,6,"6",0,NA
26739,969,4,0,7,"7",0,NA
26740,969,15,0,8,"8",0,NA
26741,969,1,0,9,"9",0,NA
26742,969,210,0,10,"10",0,NA
26743,970,6,65,2,"2",1,NA
26744,970,131,66,1,"1",1,NA
26745,970,9,37,3,"3",0,NA
26746,970,3,8,6,"6",0,NA
26747,970,10,10,5,"5",0,NA
26748,970,5,12,4,"4",0,NA
26749,970,4,0,8,"8",0,NA
26750,970,15,0,9,"9",0,NA
26751,970,1,0,10,"10",0,NA
26752,970,210,4,7,"7",0,NA
26753,971,6,102,1,"1",2,NA
26754,971,131,99,2,"2",1,NA
26755,971,9,47,3,"3",0,NA
26756,971,3,16,5,"5",0,NA
26757,971,10,17,4,"4",0,NA
26758,971,5,12,6,"6",0,NA
26759,971,4,2,8,"8",0,NA
26760,971,15,0,9,"9",0,NA
26761,971,1,0,10,"10",0,NA
26762,971,210,8,7,"7",0,NA
26763,972,6,135,2,"2",2,NA
26764,972,131,136,1,"1",2,NA
26765,972,9,57,3,"3",0,NA
26766,972,3,18,5,"5",0,NA
26767,972,10,31,4,"4",0,NA
26768,972,5,13,6,"6",0,NA
26769,972,4,6,8,"8",0,NA
26770,972,15,0,9,"9",0,NA
26771,972,1,0,10,"10",0,NA
26772,972,210,8,7,"7",0,NA
26773,973,6,153,2,"2",2,NA
26774,973,131,161,1,"1",3,NA
26775,973,9,72,3,"3",0,NA
26776,973,3,18,6,"6",0,NA
26777,973,10,53,4,"4",0,NA
26778,973,5,21,5,"5",0,NA
26779,973,4,14,7,"7",0,NA
26780,973,15,4,9,"9",0,NA
26781,973,1,0,10,"10",0,NA
26782,973,210,9,8,"8",0,NA
26783,974,6,196,1,"1",3,NA
26784,974,131,179,2,"2",3,NA
26785,974,9,97,3,"3",0,NA
26786,974,3,20,6,"6",0,NA
26787,974,10,53,4,"4",0,NA
26788,974,5,29,5,"5",0,NA
26789,974,4,14,7,"7",0,NA
26790,974,15,4,9,"9",0,NA
26791,974,1,0,10,"10",0,NA
26792,974,210,14,8,"8",0,NA
26793,975,6,214,2,"2",3,NA
26794,975,131,222,1,"1",4,NA
26795,975,9,112,3,"3",0,NA
26796,975,3,22,6,"6",0,NA
26797,975,10,71,4,"4",0,NA
26798,975,5,29,5,"5",0,NA
26799,975,4,18,7,"7",0,NA
26800,975,15,4,9,"9",0,NA
26801,975,1,0,10,"10",0,NA
26802,975,210,15,8,"8",0,NA
26803,976,6,226,2,"2",3,NA
26804,976,131,250,1,"1",4,NA
26805,976,9,137,3,"3",1,NA
26806,976,3,37,5,"5",0,NA
26807,976,10,79,4,"4",0,NA
26808,976,5,33,6,"6",0,NA
26809,976,4,18,8,"8",0,NA
26810,976,15,5,9,"9",0,NA
26811,976,1,2,10,"10",0,NA
26812,976,210,21,7,"7",0,NA
26813,977,6,254,2,"2",3,NA
26814,977,131,287,1,"1",5,NA
26815,977,9,152,3,"3",1,NA
26816,977,3,40,5,"5",0,NA
26817,977,10,89,4,"4",0,NA
26818,977,5,33,6,"6",0,NA
26819,977,4,18,8,"8",0,NA
26820,977,15,5,9,"9",0,NA
26821,977,1,2,10,"10",0,NA
26822,977,210,29,7,"7",0,NA
26823,978,6,275,2,"2",3,NA
26824,978,131,330,1,"1",6,NA
26825,978,9,174,3,"3",1,NA
26826,978,3,41,5,"5",0,NA
26827,978,10,95,4,"4",0,NA
26828,978,5,33,6,"6",0,NA
26829,978,4,26,8,"8",0,NA
26830,978,15,5,9,"9",0,NA
26831,978,1,2,10,"10",0,NA
26832,978,210,29,7,"7",0,NA
26833,979,6,318,2,"2",4,NA
26834,979,131,357,1,"1",6,NA
26835,979,9,184,3,"3",1,NA
26836,979,3,41,5,"5",0,NA
